car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem
94,1,nissan titan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
95,1,nissan leaf,gas,std,two,sedan,fwd,front,ohc,four,2bbl
96,1,nissan juke,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
97,1,nissan latio,gas,std,four,sedan,fwd,front,ohc,four,2bbl
98,1,nissan note,gas,std,four,wagon,fwd,front,ohc,four,2bbl
99,2,nissan clipper,gas,std,two,hardtop,fwd,front,ohc,four,2bbl
100,0,nissan rogue,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
101,0,nissan nv200,gas,std,four,sedan,fwd,front,ohc,four,2bbl
102,0,nissan dayz,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
103,0,nissan fuga,gas,std,four,wagon,fwd,front,ohcv,six,mpfi
104,0,nissan otti,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
105,3,nissan teana,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
106,3,nissan kicks,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi
107,1,nissan clipper,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
108,0,peugeot 504,gas,std,four,sedan,rwd,front,l,four,mpfi
109,0,peugeot 304,diesel,turbo,four,sedan,rwd,front,l,four,idi
110,0,peugeot 504 (sw),gas,std,four,wagon,rwd,front,l,four,mpfi
111,0,peugeot 504,diesel,turbo,four,wagon,rwd,front,l,four,idi
112,0,peugeot 504,gas,std,four,sedan,rwd,front,l,four,mpfi
113,0,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,l,four,idi
114,0,peugeot 504,gas,std,four,wagon,rwd,front,l,four,mpfi
115,0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,l,four,idi
116,0,peugeot 504,gas,std,four,sedan,rwd,front,l,four,mpfi
117,0,peugeot 504,diesel,turbo,four,sedan,rwd,front,l,four,idi
118,0,peugeot 604sl,gas,turbo,four,sedan,rwd,front,l,four,mpfi
119,1,plymouth fury iii,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
120,1,plymouth cricket,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
121,1,plymouth fury iii,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
122,1,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,ohc,four,2bbl
123,1,plymouth fury gran sedan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
124,-1,plymouth valiant,gas,std,four,wagon,fwd,front,ohc,four,2bbl
125,3,plymouth duster,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi
126,3,porsche macan,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
127,3,porcshce panamera,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
128,3,porsche cayenne,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
129,3,porsche boxter,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi
130,1,porsche cayenne,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi
131,0,renault 12tl,gas,std,four,wagon,fwd,front,ohc,four,mpfi
132,2,renault 5 gtl,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
133,3,saab 99e,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
134,2,saab 99le,gas,std,four,sedan,fwd,front,ohc,four,mpfi
135,3,saab 99le,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
136,2,saab 99gle,gas,std,four,sedan,fwd,front,ohc,four,mpfi
137,3,saab 99gle,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi
138,2,saab 99e,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi
139,2,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
140,2,subaru dl,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
141,2,subaru dl,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl
142,0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
143,0,subaru brz,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
144,0,subaru baja,gas,std,four,sedan,fwd,front,ohcf,four,mpfi
145,0,subaru r1,gas,std,four,sedan,4wd,front,ohcf,four,2bbl
146,0,subaru r2,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi
147,0,subaru trezia,gas,std,four,wagon,fwd,front,ohcf,four,2bbl
148,0,subaru tribeca,gas,std,four,wagon,fwd,front,ohcf,four,mpfi
149,0,subaru dl,gas,std,four,wagon,4wd,front,ohcf,four,2bbl
150,0,subaru dl,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi
151,1,toyota corona mark ii,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
152,1,toyota corona,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
153,1,toyota corolla 1200,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
154,0,toyota corona hardtop,gas,std,four,wagon,fwd,front,ohc,four,2bbl
155,0,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,ohc,four,2bbl
156,0,toyota carina,gas,std,four,wagon,4wd,front,ohc,four,2bbl
157,0,toyota mark ii,gas,std,four,sedan,fwd,front,ohc,four,2bbl
158,0,toyota corolla 1200,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
159,0,toyota corona,diesel,std,four,sedan,fwd,front,ohc,four,idi
160,0,toyota corolla,diesel,std,four,hatchback,fwd,front,ohc,four,idi
161,0,toyota corona,gas,std,four,sedan,fwd,front,ohc,four,2bbl
162,0,toyota corolla,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
163,0,toyota mark ii,gas,std,four,sedan,fwd,front,ohc,four,2bbl
164,1,toyota corolla liftback,gas,std,two,sedan,rwd,front,ohc,four,2bbl
165,1,toyota corona,gas,std,two,hatchback,rwd,front,ohc,four,2bbl
166,1,toyota celica gt liftback,gas,std,two,sedan,rwd,front,dohc,four,mpfi
167,1,toyota corolla tercel,gas,std,two,hatchback,rwd,front,dohc,four,mpfi
168,2,toyota corona liftback,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
169,2,toyota corolla,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
170,2,toyota starlet,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
171,2,toyota tercel,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
172,2,toyota corolla,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
173,2,toyota cressida,gas,std,two,convertible,rwd,front,ohc,four,mpfi
174,-1,toyota corolla,gas,std,four,sedan,fwd,front,ohc,four,mpfi
175,-1,toyota celica gt,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
176,-1,toyota corona,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
177,-1,toyota corolla,gas,std,four,sedan,fwd,front,ohc,four,mpfi
178,-1,toyota mark ii,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
179,3,toyota corolla liftback,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
180,3,toyota corona,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
181,-1,toyota starlet,gas,std,four,sedan,rwd,front,dohc,six,mpfi
182,-1,toyouta tercel,gas,std,four,wagon,rwd,front,dohc,six,mpfi
183,2,vokswagen rabbit,diesel,std,two,sedan,fwd,front,ohc,four,idi
184,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,ohc,four,mpfi
185,2,volkswagen model 111,diesel,std,four,sedan,fwd,front,ohc,four,idi
186,2,volkswagen type 3,gas,std,four,sedan,fwd,front,ohc,four,mpfi
187,2,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,ohc,four,mpfi
188,2,volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
189,2,volkswagen dasher,gas,std,four,sedan,fwd,front,ohc,four,mpfi
190,3,vw dasher,gas,std,two,convertible,fwd,front,ohc,four,mpfi
191,3,vw rabbit,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
192,0,volkswagen rabbit,gas,std,four,sedan,fwd,front,ohc,five,mpfi
193,0,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
194,0,volkswagen dasher,gas,std,four,wagon,fwd,front,ohc,four,mpfi
195,-2,volvo 145e (sw),gas,std,four,sedan,rwd,front,ohc,four,mpfi
196,-1,volvo 144ea,gas,std,four,wagon,rwd,front,ohc,four,mpfi
197,-2,volvo 244dl,gas,std,four,sedan,rwd,front,ohc,four,mpfi
198,-1,volvo 245,gas,std,four,wagon,rwd,front,ohc,four,mpfi
199,-2,volvo 264gl,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
200,-1,volvo diesel,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi
201,-1,volvo 145e (sw),gas,std,four,sedan,rwd,front,ohc,four,mpfi
202,-1,volvo 144ea,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
203,-1,volvo 244dl,gas,std,four,sedan,rwd,front,ohcv,six,mpfi
204,-1,volvo 246,diesel,turbo,four,sedan,rwd,front,ohc,six,idi
205,-1,volvo 264gl,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
